ID,Product_Type,HTS,Company,Address,City,State,ZIP,Percent,Total_Amount,Quantity_1,Quantity_2,Quantity_3,Quantity_4,Quantity_5,Origin_1,Origin_2,Origin_3,Origin_4,Origin_5,Exporter_1,Exporter_2,Exporter_3,Exporter_4,Exporter_5,District,Abbreviation,Code,Approved,Denied_Incomplete,Denied_Country,Denied_Production,Pending,Denied,Posted_Date,Received_Date,Total_Exclusions,Total_Approved,Total_Denied,Total_Pending,Objections,Total_Objections,Total_Firms
BIS-2018-0002-17951,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,30000000,90000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17953,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,30000000,90000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17957,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,10000000,90000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17958,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,6000000,90000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17959,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,8000000,90000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-1796,Sheet,7606123090,"Constellium-UACJ ABS, LLC",714 Commonwealth Blvd,Bowling Green,Kentucky,42101,1,150000,150000,-999,-999,-999,-999,Germany,N/A,N/A,N/A,N/A,Netherlands,N/A,N/A,N/A,N/A,02,KY,KY-02,1,0,0,0,0,0,6/11/18,6/4/18,34,33,0,1,1,34,1
BIS-2018-0002-17960,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,31000000,90000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17961,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,12000000,90000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17962,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,15000000,15000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
BIS-2018-0002-17963,Flat,7606123045,Ball Metal Beverage Container Corporation,9300 W. 108th Circle,Broomfield,Colorado,80021,0.07,13000000,90000000,-999,-999,-999,-999,Saudi Arabia,N/A,N/A,N/A,N/A,Saudi Arabia,N/A,N/A,N/A,N/A,07,CO,CO-07,0,0,0,0,1,0,5/22/19,2/8/19,136,29,4,103,1,146,1
